N,R,D,GPU,Network,Approach,transfer_NxN,matmul_NxN,matmul_NxN_x_Nx1,matmul_RxN_x_NxN,inverse_NxN,transfer_Nx1,transfer_RxN,addition_NxN,addition_Nx1,addition_RxN,randgen_NxN,randgen_Nx1,decentralized_protocol,total_time
5000,500,10,NVIDIA H100,DataCenter,floating-point,0.1605,0.008747416804544628,0.000181336576739947,0.0007872556646664938,0.0342055041808635,0.000532,0.0165,0.00035318608085314435,7.063721617062887e-08,7.217936217784882e-05,0.0008935805410146714,0.0008935805410146714,0.4309953357704478,1.5240250561507642
5000,500,10,NVIDIA H100,DataCenter,fixed-point,0.1605,0.058242901624180374,0.0038169659674167633,0.009141801546017328,0.0342055041808635,0.000532,0.0165,0.0003627917418877284,7.255834837754568e-08,5.804250637690226e-05,0.0019462842494249342,0.0019462842494249342,0.4309953357704478,1.8612086698151724
5000,1000,2,A40,Residential,floating-point,16.03,0.5151703041046858,0.0004558937973342836,0.10527715599164367,0.7819825742393732,0.0332,3.23,0.0022767664049752057,4.5535328099504115e-07,0.0004686814034357667,0.0016128759831190108,0.0016128759831190108,6.801818191846799,113.75267211595695
5000,1000,2,A40,Residential,fixed-point,16.03,0.08056041859090328,0.0038735952111892402,0.01536538142245263,0.7819825742393732,0.0332,3.23,0.002107701206114143,4.2154024122282867e-07,0.00044116700300946834,0.004062405973672867,0.004062405973672867,6.801818191846799,110.8942592157504
5000,1000,2,A40,Enterprise,floating-point,1.605,0.5151703041046858,0.0004558937973342836,0.10527715599164367,0.7819825742393732,0.00532,0.325,0.0022767664049752057,4.5535328099504115e-07,0.0004686814034357667,0.0016128759831190108,0.0016128759831190108,1.8947922105858943,16.402006134696077
5000,1000,2,A40,Enterprise,fixed-point,1.605,0.08056041859090328,0.0038735952111892402,0.01536538142245263,0.7819825742393732,0.00532,0.325,0.002107701206114143,4.2154024122282867e-07,0.00044116700300946834,0.004062405973672867,0.004062405973672867,1.8947922105858943,13.543593234489489
5000,1000,2,A40,DataCenter,floating-point,0.1605,0.5151703041046858,0.0004558937973342836,0.10527715599164367,0.7819825742393732,0.000532,0.0325,0.0022767664049752057,4.5535328099504115e-07,0.0004686814034357667,0.0016128759831190108,0.0016128759831190108,1.030363338182507,6.271213262292688
5000,1000,2,A40,DataCenter,fixed-point,0.1605,0.08056041859090328,0.0038735952111892402,0.01536538142245263,0.7819825742393732,0.000532,0.0325,0.002107701206114143,4.2154024122282867e-07,0.00044116700300946834,0.004062405973672867,0.004062405973672867,1.030363338182507,3.412800362086103
5000,1000,2,A100 80GB PCIe,Residential,floating-point,16.03,0.01512194685637951,0.00021996969978014627,0.002912171185016632,0.05061488337814808,0.0332,3.23,0.0007575924197832743,1.5151848395665487e-07,0.0001676951845486959,0.0014488509856164455,0.0014488509856164455,6.801818191846799,109.70283783088483
5000,1000,2,A100 80GB PCIe,Residential,fixed-point,16.03,0.07154563292860985,0.004821321616570155,0.014233428984880447,0.05061488337814808,0.0332,3.23,0.0007565195361773173,1.5130390723546346e-07,0.0001691703995068868,0.00307129193097353,0.00307129193097353,6.801818191846799,110.09563405294874
5000,1000,2,A100 80GB PCIe,Enterprise,floating-point,1.605,0.01512194685637951,0.00021996969978014627,0.002912171185016632,0.05061488337814808,0.00532,0.325,0.0007575924197832743,1.5151848395665487e-07,0.0001676951845486959,0.0014488509856164455,0.0014488509856164455,1.8947922105858943,12.35217184962394
5000,1000,2,A100 80GB PCIe,Enterprise,fixed-point,1.605,0.07154563292860985,0.004821321616570155,0.014233428984880447,0.05061488337814808,0.00532,0.325,0.0007565195361773173,1.5130390723546346e-07,0.0001691703995068868,0.00307129193097353,0.00307129193097353,1.8947922105858943,12.744968071687838
5000,1000,2,A100 80GB PCIe,DataCenter,floating-point,0.1605,0.01512194685637951,0.00021996969978014627,0.002912171185016632,0.05061488337814808,0.000532,0.0325,0.0007575924197832743,1.5151848395665487e-07,0.0001676951845486959,0.0014488509856164455,0.0014488509856164455,1.030363338182507,2.221378977220553
5000,1000,2,A100 80GB PCIe,DataCenter,fixed-point,0.1605,0.07154563292860985,0.004821321616570155,0.014233428984880447,0.05061488337814808,0.000532,0.0325,0.0007565195361773173,1.5130390723546346e-07,0.0001691703995068868,0.00307129193097353,0.00307129193097353,1.030363338182507,2.614175199284452
5000,1000,2,H200,Residential,floating-point,16.03,0.0046604706440120935,0.00011872624357541402,0.0009239458789428076,0.02783253937959671,0.0332,3.23,0.000290470818678538,5.8094163735707605e-08,7.435865700244904e-05,0.0006802253425121308,0.0006802253425121308,6.801818191846799,109.60495413124247
5000,1000,2,H200,Residential,fixed-point,16.03,0.05255666766315699,0.0034104585647583008,0.01227409765124321,0.02783253937959671,0.0332,3.23,0.00029011381169160205,5.802276233832041e-08,7.468648254871368e-05,0.004639364592730999,0.004639364592730999,6.801818191846799,109.95209203610503
5000,1000,2,H200,Enterprise,floating-point,1.605,0.0046604706440120935,0.00011872624357541402,0.0009239458789428076,0.02783253937959671,0.00532,0.325,0.000290470818678538,5.8094163735707605e-08,7.435865700244904e-05,0.0006802253425121308,0.0006802253425121308,1.8947922105858943,12.254288149981571
5000,1000,2,H200,Enterprise,fixed-point,1.605,0.05255666766315699,0.0034104585647583008,0.01227409765124321,0.02783253937959671,0.00532,0.325,0.00029011381169160205,5.802276233832041e-08,7.468648254871368e-05,0.004639364592730999,0.004639364592730999,1.8947922105858943,12.601426054844133
5000,1000,2,H200,DataCenter,floating-point,0.1605,0.0046604706440120935,0.00011872624357541402,0.0009239458789428076,0.02783253937959671,0.000532,0.0325,0.000290470818678538,5.8094163735707605e-08,7.435865700244904e-05,0.0006802253425121308,0.0006802253425121308,1.030363338182507,2.123495277578183
5000,1000,2,H200,DataCenter,fixed-point,0.1605,0.05255666766315699,0.0034104585647583008,0.01227409765124321,0.02783253937959671,0.000532,0.0325,0.00029011381169160205,5.802276233832041e-08,7.468648254871368e-05,0.004639364592730999,0.004639364592730999,1.030363338182507,2.470633182440746
